phage,host,label
KM236502,CP027541,1
NC_031124,CP027541,1
NC_005357,MTKC01000003,0
MH651183,CP027541,1
MH051257,CP020567,0
MH371112,CP027541,1
NC_028804,CP027541,1
NC_022056,CP027541,1
NC_009333,AP014565,0
KU160672,NZ_JNYC01000004,0
NC_031102,CP027541,1
NC_030694,CP005486,0
KX683292,CP027541,1
NC_021783,NZ_BCTM01000001,0
MH271319,NZ_UHFO01000001,0
MK524518,NC_016776,0
MK359323,CP027541,1
NC_011020,CP027541,1
NC_010807,CP030026,1
MF919509,CP027541,1
MH576970,CP014038,0
NC_018850,CP012831,1
KR816508,NZ_AOLH01000002,0
MH976512,NZ_NGMG01000001,0
NC_028812,NZ_QEOC01000001,0
MK279845,NZ_LT961733,0
NC_031263,CP027541,1
NC_025421,CP031023,1
MH669017,NC_014640,0
KX657796,CP027541,1
MF919517,CP012831,0
NC_028800,NZ_UWXU01000001,1
KY464936,CP014324,0
NC_021801,NZ_GL622183,0
KU160659,LC361338,1
NC_020880,CP013922,0
NC_028900,NZ_CM007353,1
MH155876,CP027541,1
MK279854,LC361338,1
NC_028805,CP032410,1
MH926060,CP027541,1
NC_021349,MH400164,0
NC_031077,CP018363,0
NC_009884,NZ_CP029289,1
NC_031257,NZ_MSEI01000003,0
MF919538,CP025095,0
MK279878,NZ_CCKZ01000001,0
NC_006949,AP014565,1
MH399783,CP018032,0
NC_028699,NZ_SAUP01000001,0
KM588359,NZ_MSEI01000003,0
MH825697,CP027541,1
KP057620,CP027541,1
MF668285,LC361338,1
NC_031007,NZ_NQJM01000001,1
NC_024366,RXKE01000007,0
NC_019543,CP022426,1
KT347314,CP029449,0
KU963249,NZ_DF968533,0
NC_031923,NZ_UHFW01000006,1
KP027208,CP020557,0
MH399776,CP027541,1
NC_020204,CP032410,0
NC_019548,NZ_MDHL01000001,0
NC_011270,CP020809,0
MG962372,NZ_CM007353,0
NC_016770,CP029897,0
NC_028977,NZ_UWXU01000001,1
NC_009333,NC_000001,1
KU998244,NZ_CP029604,1
MK279888,PEKX01000007,0
NC_012784,NZ_CP023560,1
NC_029077,CP027541,1
NC_031263,NZ_JYBP01000003,0
KU252585,NZ_CP029604,1
MK359322,NZ_HF571038,0
KU998253,NZ_JNIU01000001,0
NC_023746,CP027541,1
NC_016568,NJFC02000001,1
NC_029121,CP027116,1
KY087992,LR134303,0
NC_007055,NZ_UZVX01000004,0
KX369584,CP027541,1
NC_007064,NZ_CP023560,1
KU998245,CP030026,0
NC_028784,NZ_JNIU01000001,0
JX411619,CP027541,1
NC_028696,CP030026,1
MG099947,MH286069,0
KM881426,LC361338,0
MG099934,CP027541,1
NC_030907,NZ_CP016896,0
KX458236,CP027541,1
KT279576,CP027541,1
NC_023731,CP027541,1
MK279912,NZ_CP029604,1
NC_004746,NZ_LT571449,0
KY083063,CP035765,0
MK112546,CP027541,1
KY676784,NZ_GG657757,1
MH727547,NZ_LT961733,0
NC_009554,CP031023,1
MH001455,NREQ02000002,0
NC_029316,MH400164,0
MG872832,CP027541,1
KY204248,NZ_CP018725,0
NC_003315,SIMC01000001,0
MF189176,NZ_UFTQ01000001,0
MH834622,QLNP01000098,1
JN859129,CP027541,1
NC_030694,NZ_CP029604,1
MH155874,NZ_AOLR01000018,0
MH051265,CM000737,0
KX664448,NZ_BAFC01000022,0
NC_019930,CP022298,0
MH727558,CP027541,1
NC_031107,NZ_NQJM01000001,1
MK112530,CP027541,1
KJ567044,LT906480,0
KR997931,CP027541,1
NC_028800,NZ_CM001149,0
NC_028929,CP020557,0
MH669001,NZ_LR215978,0
KX641264,NZ_NQJM01000001,0
NC_022981,CP027541,1
JF937093,MF925712,0
MK279881,CP027541,1
NC_030925,NZ_CM007353,0
JF704107,CP027541,1
MH045569,CP020369,0
NC_019422,NBTS02000002,1
NC_020856,NVUC01000001,1
KX557280,CP032627,0
NC_022762,CP031023,1
KX443695,LC361338,1
NC_016568,QUAI01000001,0
NC_031252,LC361338,1
MH669004,NZ_MIGA01000001,1
MH727560,CP032788,1
MK433266,CP020358,0
NC_019545,AP014565,1
MH479917,NZ_CP029604,1
MF140411,CP027541,1
MK279910,CP027541,1
NC_005880,NZ_CP023560,1
KM101119,CP030026,0
KU160662,LC361338,1
NC_031043,NZ_NQJM01000001,1
NC_023706,NZ_CM001149,1
KP017311,NC_010163,0
MH513983,CP027541,1
NC_004589,CP020369,0
